card_key,astrological_label,description_text,description_condensed,condensed_word_count,reversed_reading_notes,description_anonymized
minor_wands_03,"SUN IN ARIES, SECOND DECAN","Here, the Sun is in Aries, a sign that is like its home. The Sun-in-Aries sign is an astrological position where many aspects of this card recall the courageous and very willful nature of Aries. In the Three of Wands, we find vision; the project becomes clear. After the initial energy of the Ace and the choice of Two, we can now embark on the wild and unknown adventure that awaits us out there. We are still on the threshold, in that place that gives us a glimpse of the wonders that await, that we can encounter if we just have the courage to continue.","The Sun sits at home in Aries here, lending courage and willful clarity to this card. After the Ace's spark and the Two's decision, the project finally comes into focus, vision replacing uncertainty. We stand at the threshold of a wider adventure, catching a glimpse of what awaits if we're brave enough to keep moving forward into the unknown.",59,"Vision clouded, or delays stalling progress just as momentum was building.","A warm, confident planetary energy sits comfortably in a bold sign here, lending courage and willful clarity to this card. After an initial spark and a difficult decision, the project finally comes into focus, vision replacing uncertainty. We stand at the threshold of a wider adventure, catching a glimpse of what awaits if we're brave enough to keep moving forward into the unknown."
minor_wands_04,"VENUS IN ARIES, THIRD DECAN","We stand before another solar card. Two figures celebrate in a bright, warm, and welcoming space. In the Four of Wands, we find grace and celebration. Here, the Empress and Emperor, Venus and Mars, meet. In fact, in this position, Venus is in exile. She doesn't feel entirely comfortable in the active and warriorlike energy of Mars and the Aries sign. The Four of Wands evokes this balance. When polar opposites meet, they create a stability worth celebrating. The card is related to celebrations, meetings, plans that can see the light.","Two figures celebrate in warm, welcoming light, echoing the Empress and Emperor meeting here as Venus and Mars. Venus is in exile in Aries, not entirely at ease with its combative energy, yet that friction produces a stability worth marking. When opposites meet and settle, the result is something to celebrate: gatherings, plans finally taking shape, and shared warmth after effort.",61,"A celebration postponed, or instability where solid ground was expected.","Two figures celebrate in warm, welcoming light, echoing a nurturing and an assertive energy meeting here. One of these energies is somewhat out of its natural element, not entirely at ease with the other's combative nature, yet that friction produces a stability worth marking. When opposites meet and settle, the result is something to celebrate: gatherings, plans finally taking shape, and shared warmth after effort."
minor_wands_05,"SATURN IN LEO, FIRST DECAN","As often happens with number Five, here, too, we encounter a challenge and a conflict that must be overcome. Saturn, the master of time, limits, and regulations, meets Leo, a regal, solar, and effusive sign. Therefore, when we find this card, it's possible that we could experience a moment in which our expressive energy is limited. We must look inward and tap into our creative resource to find a new path. Leo expresses individuality in opposition to Aquarius, which is on the other hand, connected to community. Saturn, here, invites us to rediscover security and strength in ourselves by working through the conflict that might become creative action.","As with most Fives, this card brings a conflict to work through. Saturn's limits meet Leo's regal, expressive fire, so self-expression can feel constrained here. Leo's individuality also stands opposite Aquarius's community focus, adding to the tension. Saturn's invitation is to turn inward, rediscovering strength and security in yourself, letting the friction itself become raw material for something newly creative.",60,"Conflict avoided entirely, or tension escalating past the point of being useful.","As with most cards of this number, this card brings a conflict to work through. A structured, limiting energy meets a regal, expressive fire, so self-expression can feel constrained here. This energy's individuality also stands opposite a more community-focused one, adding to the tension. The invitation is to turn inward, rediscovering strength and security in yourself, letting the friction itself become raw material for something newly creative."
minor_wands_06,"JUPITER IN LEO, SECOND DECAN","After the difficulty of card number Five, the Six of Wands holds full self-expression: optimism, joy, and creative expansion are all experiences that Jupiter brings together in the sign of Leo. We have won our battle; we are returning home. In the card we find a personal celebration that carries another piece of advice: be careful not to rest too much on your laurels. This moment should be celebrated and relished fully, with the understanding, however, that it can change. It is a victory won fairly, in full agreement with Leo and not at the expense of others. At the same time, Jupiter brings good luck and certain success.","After the struggle of the Five, this card holds full self-expression: optimism, joy, and expansion, as Jupiter meets Leo's warmth. The battle is won and we're heading home to a personal celebration, earned fairly rather than at anyone else's expense. Still, the card cautions against resting too long on this win. Enjoy it fully, but remember Jupiter's luck is only ever a season, not a guarantee.",66,"Success going unrecognized, or pride curdling into arrogance.","After a prior struggle, this card holds full self-expression: optimism, joy, and expansion, as a generous, lucky energy meets a warm one. The battle is won and we're heading home to a personal celebration, earned fairly rather than at anyone else's expense. Still, the card cautions against resting too long on this win. Enjoy it fully, but remember that luck is only ever a season, not a guarantee."
minor_wands_07,"MARS IN LEO, THIRD DECAN","In the Seven of Wands, we proceed toward action. Here, the life force of Mars meets the will and courage of Leo. This card tells us that we are ready to face everything that will happen with valor, readiness, and energy. It is a card that refers to personal values, that pushes us to follow our nature, whatever it costs. We must figure out what we are made of and not be afraid to show ourselves fully. Our value, however, can be inspiration for others, just like Leo shows off its regality with a generous heart despite difficulties. Let us stand up for our rights, says the Seven of Wands. This is not the time to move back.","Mars's raw drive meets Leo's courage and will, pushing us into action. This card says we're ready to meet whatever comes with valor and readiness, standing firmly behind our own values regardless of the cost. It asks us to show ourselves fully rather than hide, since our example, like Leo's generous regality, can inspire others even in difficulty. This isn't the moment to back down.",65,"Feeling overwhelmed and giving ground, rather than standing firm on what matters.","A driving, assertive energy meets courage and will, pushing us into action. This card says we're ready to meet whatever comes with valor and readiness, standing firmly behind our own values regardless of the cost. It asks us to show ourselves fully rather than hide, since our example, like a generous kind of regality, can inspire others even in difficulty. This isn't the moment to back down."
minor_wands_08,"MERCURY IN SAGITTARIUS, FIRST DECAN","Mercury alongside Sagittarius amplifies its communicative power. In this card, the planet of speed and the communication of information matches the zodiac sign that can focus on a goal and reach it by clearly expressing its intentions better than any other sign. Mercury is the messenger; Sagittarius says things as they are. When we encounter this card, we must wait for the arrival of an important message, something stuck that finally frees itself, the arrival of a solution. We are in the right place at the right time!","Mercury's speed and Sagittarius's directness amplify each other here, the planet of messages paired with the sign that says things plainly and aims straight at its goal. This card signals an important message about to arrive, something long stuck suddenly freeing itself, a solution appearing right on time. It's a reminder that you're exactly where you need to be, at exactly the right moment.",64,"Delays and miscommunication, or frustration as things move slower than expected.","A quick, communicative energy and a direct, straight-talking sign amplify each other here. This card signals an important message about to arrive, something long stuck suddenly freeing itself, a solution appearing right on time. It's a reminder that you're exactly where you need to be, at exactly the right moment."
minor_wands_09,"MOON IN SAGITTARIUS, SECOND DECAN","The Moon reflects our intuitive and intimate side. When it encounters Sagittarius, like in the Nine of Wands, our dreams are marked with the dynamic energy of the sign. The Nine of Wands represents a break, during which we can focus on the next move that will lead us to achieve our goal. Here, intuition is connected to planning and precision, like an arrow shot from a bow. In the card, there is also a great force, which allows us to firmly go back on the attack even if we are injured. In addition, the Moon often refers to home. In Sagittarius, our home can be in unusual places, like on the seaside, in the trunk of a tree, or in an abandoned hut so that you can regain your strength for a new adventure.","The Moon's intuitive, reflective pull takes on Sagittarius's restless energy here, giving dreams a dynamic edge. This card marks a pause for regrouping before the next move toward a goal, intuition sharpened into precision, like an arrow aimed carefully. There's resilience here too, the strength to return to the fight even while wounded. Under the Moon, home might be somewhere unconventional, wherever lets you recover.",65,"Exhaustion from refusing to rest, or defensiveness held long after the threat has passed.","An intuitive, reflective energy takes on a restless one here, giving dreams a dynamic edge. This card marks a pause for regrouping before the next move toward a goal, intuition sharpened into precision, like an arrow aimed carefully. There's resilience here too, the strength to return to the fight even while wounded. Home, in this case, might be somewhere unconventional, wherever lets you recover."
minor_wands_10,"SATURN IN SAGITTARIUS, THIRD DECAN","In this card, Saturn, master of boundaries and limits, encounters Sagittarius, an expert of expansion and adventure. At first glance, it might seem like Saturn in this position would be a killjoy; but if Sagittarius cooperates with Saturn's message, it might learn a lot and be truly efficient. The card itself says so: in the Ten of Wands, we must pay attention and not exaggerate. Measuring our effort, being aware of our resources, and rationing our energy are necessary if we want to fully reach our objective and fulfill our plans. The card reminds us also of the importance of delegating. We cannot do everything; we need to recognize, accept, and respect our limits.","Saturn's limits meet Sagittarius's love of expansion, an unlikely pairing that can actually teach real efficiency, if Sagittarius is willing to listen. This card warns against overextending: measure your effort, respect your resources, and don't try to carry everything at once. It's also a reminder about delegating, since recognizing and accepting our limits is what actually lets a plan reach completion.",61,"Burnout from refusing to delegate, carrying far more than is sustainable.","A limiting energy meets a love of expansion, an unlikely pairing that can actually teach real efficiency, if that expansive side is willing to listen. This card warns against overextending: measure your effort, respect your resources, and don't try to carry everything at once. It's also a reminder about delegating, since recognizing and accepting our limits is what actually lets a plan reach completion."
minor_wands_page,AIR OF FIRE,"The Page of Wands embodies the spirit of Air and energy of Fire. He is fresh and new, like inspiration and curiosity. He is ready to embark on a new adventure. He holds a wand that is the Ace of Wands. He can dare, say yes to the unknown, stand before life as a child would, with enthusiasm and purity of heart. The Page of Wands has no fear. He transforms it into vitality and creative ability. He represents a new project, a journey, something unexpected to be embraced without fear, trusting the exploratory and lively spirit that characterizes the Wand suit. It's time to follow what inspires us.","Fresh, curious, and unafraid, the Page of Wands blends Air's inspiration with Fire's energy, holding the Ace of Wands as if daring the unknown with a child's open heart. He turns fear into vitality and creative drive, embodying a new project, journey, or surprise worth embracing rather than avoiding. His spirit trusts the exploratory, lively nature of the whole Wand suit. It's time to follow what excites you.",68,"Ideas scattered and never acted on, or hesitation where curiosity should lead.","Fresh, curious, and unafraid, this character blends airy inspiration with fiery energy, holding onto an early spark as if daring the unknown with a child's open heart. They turn fear into vitality and creative drive, embodying a new project, journey, or surprise worth embracing rather than avoiding. Their spirit trusts the exploratory, lively nature of this whole suit. It's time to follow what excites you."
minor_wands_knight,FIRE OF FIRE,"Where the Page of Wands visualizes a new idea, the Knight of Wands can't wait to go after it! Governed by the Fire element, this knight is ready to embark on an adventure. He knows how to take risks; in fact, he often goes in search of them. First he acts, then he thinks. He doesn't have the awareness of the King of Wands but possesses courage and initiative. Often, he does not know how to save energy, and it's possible that after an enthusiastic start, his energy quickly dims. He can represent unexpected change or the need to act quickly without thinking too much. The consequences of our actions can be assessed at a later time. One thing is certain: with the Knight of Wands, nothing is ever boring!","Where the Page merely imagines, the Knight of Wands can't wait to chase the idea down. Pure Fire, he takes risks eagerly, acting first and thinking later, without the King's steadier awareness. His enthusiasm can burn out quickly after a strong start, since pacing isn't his strength. He may signal sudden change or the need to move fast without overthinking; consequences can be sorted out afterward. Nothing about him is boring.",71,"Recklessness without direction, or enthusiasm burning out before anything is finished.","Where a younger figure merely imagines, this character can't wait to chase the idea down. Pure fire, they take risks eagerly, acting first and thinking later, without a steadier figure's awareness. Their enthusiasm can burn out quickly after a strong start, since pacing isn't their strength. They may signal sudden change or the need to move fast without overthinking; consequences can be sorted out afterward. Nothing about them is boring."
minor_wands_queen,WATER OF FIRE,"The Queen of Wands is completely herself. Just like the sunflowers that open up on her card, this queen is radiant, confident and vibrant. She knows she has power and how to use it. Her energy is not that of a healer and listener like the Queen of Cups, but is creative and magical. Her actions are motivated, ambitious, and focused on success. She is joyous and charismatic, a person you notice when she enters a room. She is often accompanied by a black cat, which represents her intuitive abilities, the fact that she is a witch. She does not hide this inclination of hers, but rather shows it off. She knows what she wants and how to obtain it.","Radiant and fully herself, the Queen of Wands knows her own power and isn't shy about using it. Unlike the Queen of Cups's healing energy, hers is creative and magnetic, driven and ambitious toward success. Charismatic enough to be noticed the moment she enters a room, she's often shown with a black cat, hinting at intuitive, even witchy abilities she openly embraces rather than hides. She knows exactly what she wants.",71,"Confidence curdling into control, or radiance dimmed by self-doubt.","Radiant and fully herself, this character knows her own power and isn't shy about using it. Unlike another figure's healing energy, hers is creative and magnetic, driven and ambitious toward success. Charismatic enough to be noticed the moment she enters a room, she's often shown with a black cat, hinting at intuitive, even witchy abilities she openly embraces rather than hides. She knows exactly what she wants."
minor_wands_king,EARTH OF FIRE,"Here, we find the true leader of the Wand suit: the King. His Fire energy, that of creation and transformation, is rooted in the Earth element. He is honest, capable of leading others and reaching common goals, and possesses great charisma. His courage and actions are more cautious than those of the Knight of Wands. He is more similar to the Queen, since the King also perfectly manages his great personal power and makes it available to the community, thanks to his inclination for leadership. When we find ourselves next to a person like this, we feel stronger and more capable. His energy is radiant, intense, like a constantly stoked fire that warms the long winter nights.","The true leader of the Wand suit, this King roots Fire's creative, transformative energy in steady Earth. Honest and capable, he leads others toward shared goals with real charisma, acting more cautiously than the impulsive Knight but sharing the Queen's gift for putting personal power at the community's service. Near him, people feel stronger and more capable, warmed by an energy as steady and intense as a well-tended fire.",69,"Leadership turned overbearing, or reluctance to step into the role at all.","The true leader of this suit, this character roots a creative, transformative fire energy in steady earth. Honest and capable, he leads others toward shared goals with real charisma, acting more cautiously than a more impulsive figure but sharing another figure's gift for putting personal power at the community's service. Near him, people feel stronger and more capable, warmed by an energy as steady and intense as a well-tended fire."
minor_cups_ace,CANCER · SCORPIO · PISCES,"The world of Cups is that of the Water element and emotions. This suit is connected to universal love, relationships, and spirituality. The cup contains things and lets them flow, just like water, which, if left alone, becomes stagnant. In this card we find the water of the stream, that of Cancer, which is pure, crystalline, and domestic; the water of the swamp, that of Scorpio, which holds the mystery of death and rebirth, dark and magical depths; and, lastly, the water of Pisces, that of the infinite sea, boundless, deep and healing. Due to the nature of being an Ace, that of an initiator, the card represents a new beginning, an infatuation, the discovery of wonder, new emotions that arise.","Cups belong to Water and emotion, tied to universal love, relationship, and spirituality; like water left still, feelings need to keep flowing rather than stagnate. This card blends Cancer's pure, domestic stream, Scorpio's mysterious depths of death and rebirth, and Pisces's boundless, healing sea. As an Ace, it marks a true beginning: infatuation, wonder, and new emotion arriving all at once.",61,"Emotion suppressed or blocked, rather than flowing freely into something new.","This suit belongs to Water and emotion, tied to universal love, relationship, and spirituality; like water left still, feelings need to keep flowing rather than stagnate. This card blends a pure, domestic stream, a mysterious depth of death and rebirth, and a boundless, healing sea, drawn from its three related signs. As a first card of its kind, it marks a true beginning: infatuation, wonder, and new emotion arriving all at once."
minor_cups_02,"VENUS IN CANCER, FIRST DECAN","When Venus enters Cancer, we can experience our emotions as an expansion, especially those related to love and relationships, exactly what we find in the Two of Cups. Two figures meet and cross cups, a symbol of emotional closeness and discovery. It's the first phase of a relationship in which we don't yet know the other on a deeper level, but we are attracted and interested. This process does not necessarily refer only to that between two people, but also to a relationship we might have with a project, a place or an experience.","Venus entering Cancer expands our emotional life, especially around love and connection, exactly what this card shows: two figures crossing cups in a gesture of closeness and discovery. It's the early stage of a relationship, drawn to someone or something without yet knowing it deeply. This doesn't have to mean romance specifically; it applies just as well to a new project, place, or experience.",64,Imbalance or miscommunication where mutual connection should be.,"A loving planetary energy entering a nurturing sign expands our emotional life, especially around love and connection, exactly what this card shows: two figures crossing vessels in a gesture of closeness and discovery. It's the early stage of a relationship, drawn to someone or something without yet knowing it deeply. This doesn't have to mean romance specifically; it applies just as well to a new project, place, or experience."
minor_cups_03,"MERCURY IN CANCER, SECOND DECAN","Mercury brings the communication of emotions, whereas with Venus we had the discovery of emotions in a relationship with another. Here, we deeply communicate with many people. It is the card of sisterhood, friendship, sharing intentions, planning together and working on something that truly captivates us. We share the same language, which is what happens when we are surrounded by like-minded people, friends like us, with whom we share mutual understanding upon first glance. It is a card related to abundance, the wealth that comes only from shared experience.","Where Venus discovers emotion in one relationship, Mercury here communicates feeling across a whole group. This is the card of friendship, shared intention, and collaborating on something genuinely captivating. It reflects the ease of being around people who speak your language and understand you instantly. Its abundance comes specifically from shared experience, the wealth that only community, not solitude, can generate.",61,"Overindulgence, gossip, or feeling like an outsider to the group.","Where one energy discovers emotion in a single relationship, a communicative one here shares feeling across a whole group. This is the card of friendship, shared intention, and collaborating on something genuinely captivating. It reflects the ease of being around people who speak your language and understand you instantly. Its abundance comes specifically from shared experience, the wealth that only community, not solitude, can generate."
minor_cups_04,"MOON IN CANCER, THIRD DECAN","The Moon in Cancer is in its right position, its home. It represents the emotional world, the depth of feeling, which encounters home, the need for protection, and one's inner world in Cancer. The Moon is yin energy: feminine, mutable, receptive. In this card, we find the Moon's tendency in Cancer to remain in touch with the past, memories, nostalgia, or with daydreaming and desires that haven't yet been realized. This tendency can lead us to lose what we have in the present, whether it's an opportunity, something new or a new beginning, which is represented on the card by the cup that is handed over to the figure. When we encounter this card, we must pay attention to things that have become emotionally stagnant in our lives.","The Moon is at home in Cancer here, deepening feeling and the need for protection and inner retreat. Cancer's pull toward memory, nostalgia, and unrealized daydreams can tip into missing what's actually being offered right now, symbolized by the cup being handed over unnoticed. This card is a signal to check where emotional stagnation might be causing you to overlook a present opportunity.",63,"Apathy either finally breaking, or deepening into full withdrawal from what's offered.","A reflective, emotional planetary energy is at home in a nurturing sign here, deepening feeling and the need for protection and inner retreat. That sign's pull toward memory, nostalgia, and unrealized daydreams can tip into missing what's actually being offered right now, symbolized by a cup being handed over unnoticed. This card is a signal to check where emotional stagnation might be causing you to overlook a present opportunity."
minor_cups_05,"MARS IN SCORPIO, FIRST DECAN","With the Five of Cups, we enter the world of Scorpio: a fixed water sign that represents the ability to control emotions in order to go deeper into the heart of a matter. Here, it meets Mars, a warrior planet of action and resolution. Upon first glance, its message seems hidden in the card, but it's not true. We see a figure who observes three cups that have fallen on the ground and emptied. As we have seen, the Three of Cups is abundance, sharing, something we have lost in this moment. Behind the figure there are two other full cups. The card speaks of lingering on a loss, as Scorpio would do. Mars is present in the action we don't see and is implied by the two full cups; that is, moving from discomfort to awareness, abandoning regret and transforming pain.","Scorpio's fixed water controls emotion to reach the heart of things, meeting Mars's warrior energy of action and resolution here. A figure stares at three spilled, empty cups, echoing the abundance once shown in the Three of Cups, while two full cups stand untouched behind them. The card lingers on loss the way Scorpio would, but Mars is present too, quietly pushing toward transforming pain into awareness.",67,"Starting to move past the loss, or refusing to release it at all.","A fixed water sign controls emotion to reach the heart of things, meeting a warrior-like, resolving energy here. A figure stares at three spilled, empty vessels, echoing an abundance shown elsewhere in this suit, while two full vessels stand untouched behind them. The card lingers on loss the way that fixed water sign would, but the warrior energy is present too, quietly pushing toward transforming pain into awareness."
minor_cups_06,"SUN IN SCORPIO, SECOND DECAN","The Six of Cups is the card of innocence, childhood, and everything that we understand and know we must preserve at an emotional level. This is how Scorpio appears when the Sun is in its position. Scorpio tends to preserve what it knows is valuable. Therefore, the card recalls nostalgia, the memory of the happy past. The sign acts on emotions it already knows and values. They must be cherished and used as encouragement to find them in the present. It urges us to take care of what has made us feel good in the past and recognize that in the present to relive the same sensation.","With the Sun illuminating Scorpio's tendency to preserve what it values, this card holds innocence, childhood, and everything worth protecting emotionally. It draws on feelings already known and trusted, encouraging us to cherish what once felt good and let that memory inspire the present. This is less about dwelling in the past than using it as a source of comfort and encouragement now.",63,"Nostalgia tipping into being stuck, unable to leave the past behind.","With a bright, illuminating energy meeting a tendency to preserve what it values, this card holds innocence, childhood, and everything worth protecting emotionally. It draws on feelings already known and trusted, encouraging us to cherish what once felt good and let that memory inspire the present. This is less about dwelling in the past than using it as a source of comfort and encouragement now."
minor_cups_07,"VENUS IN SCORPIO, THIRD DECAN","Venus in Scorpio is in exile. Here, the goddess of love becomes greedy for feelings, desires, and dreams. She wants to try everything, just like the figure that stands before the seven cups that contain symbols of wealth and success. And yet the key to this card is illusion and choice, which dismiss Venus in the energy of Scorpio. We are victims of an illusion, and yet are we the one who is deceiving someone? Are we really observing the situation with clear eyes? This card holds a choice, which must be carefully evaluated and not instinctively chosen. At the same time, just as Venus would do when in Scorpio, we are reminded to dream and wish with a pure heart. Our true desire will point us in the right direction.","Venus is in exile in Scorpio, turning love's goddess greedy for feeling, desire, and fantasy, wanting to taste everything the seven cups of wealth and success offer. The real theme here is illusion and choice: are we seeing clearly, or are we the ones creating the deception? Any decision here deserves careful evaluation rather than instinct, though pure, heartfelt desire can still point toward the right path.",67,"Illusions finally clearing, or choices avoided by staying lost in fantasy.","A loving planetary energy is somewhat out of its natural element in a deep, intense sign, turning it greedy for feeling, desire, and fantasy, wanting to taste everything the vessels of wealth and success in this scene offer. The real theme here is illusion and choice: are we seeing clearly, or are we the ones creating the deception? Any decision here deserves careful evaluation rather than instinct, though pure, heartfelt desire can still point toward the right path."
minor_cups_08,"SATURN IN PISCES, FIRST DECAN","In this card, Pisces, which is expanding emotion, meets Saturn, the master of time and limits. We see a figure walking away, leaving eight cups in a familiar place before heading toward another place that is unknown and wild. The card tells us of a time in which our emotions have reached a stagnant phase from which all we can do is escape. It invites you to abandon old behaviors and leave your certainties behind, because what was before can no longer be. It is time for transformation, to close a cycle and begin a new journey, as the number of this card suggests: 8, or the infinity with end and beginning.","Pisces's expanding emotion meets Saturn's discipline around time and limits. A figure walks away from eight familiar cups toward unknown, wild territory, marking a moment when emotions have stagnated and the only real option is to leave. This card calls for abandoning old patterns and closing a cycle, embracing the number eight's shape as an infinity of ending folding into new beginning.",62,Fear keeping you in a stagnant place long after it's stopped serving you.,"An expansive, emotional sign meets a disciplined energy around time and limits. A figure walks away from familiar vessels toward unknown, wild territory, marking a moment when emotions have stagnated and the only real option is to leave. This card calls for abandoning old patterns and closing a cycle, embracing the shape of its number as an infinity of ending folding into new beginning."
minor_cups_09,"JUPITER IN PISCES, SECOND DECAN","The Nine of Cups is the card of fulfilled desires. It can't be any other way since, here, Pisces, and thus the inner world, emotions and dreams, meet Jupiter, the planet of success, expansion and fulfillment. Pisces carries emotional depth and fullness that foretells the arrival of truly happy days. If we want something, here, we know it's about to happen. The cups are almost complete: Nine, the number before Ten, invites us to a place of full and joyous expectation, because we know that something beautiful is about to arrive.","Pisces's emotional depth meets Jupiter's expansion and fulfillment, making this the card of desires realized. If you want something, this card suggests it's already on its way. Nine, the number just before completion, holds a place of full, joyful anticipation rather than impatience, a sign that something genuinely good is close at hand and worth savoring in the meantime.",59,"Dissatisfaction despite having enough, or seeking fulfillment in excess instead.","A deep, emotional sign meets an expansive, fulfilling energy, making this the card of desires realized. If you want something, this card suggests it's already on its way. Sitting just before completion, it holds a place of full, joyful anticipation rather than impatience, a sign that something genuinely good is close at hand and worth savoring in the meantime."
minor_cups_10,"MARS IN PISCES, THIRD DECAN","The emerging and roaring force of Mars, here, finds an anchor of peace and harmony in the sign of Pisces. In this card there is satisfaction for what we have achieved, awareness and attention to the present, where everything is in its place. Emotional satisfaction is important when we encounter this card. The person often radiates a magnetic and rooting sense of peace. Personal vibrations are elevated, and it will be easy to bring joy to your life. It is a truly happy moment. Let us enjoy it.","Mars's usually roaring energy finds calm here, anchored by Pisces's peace and harmony. This card reflects real satisfaction with what's been achieved, full presence, and everything settled comfortably in its place. The feeling is magnetic and grounding, elevating everyday life rather than chasing something bigger. It's simply a genuinely happy moment, worth noticing and enjoying rather than rushing past.",59,A happy picture that doesn't match how disconnected things actually feel underneath.,"A usually roaring, active energy finds calm here, anchored by a peaceful, harmonious sign. This card reflects real satisfaction with what's been achieved, full presence, and everything settled comfortably in its place. The feeling is magnetic and grounding, elevating everyday life rather than chasing something bigger. It's simply a genuinely happy moment, worth noticing and enjoying rather than rushing past."
minor_cups_page,AIR OF WATER,"The Page of Cups represents the elements of Air and Water together. This means inspiration mixed with emotion. The Page of Cups is someone who works to make our dreams a reality. He is the beginning of an exciting journey, a new encounter, the first phase of falling in love, and not just with a person but also with a project, place, or experience. He is pure imagination, levity, beauty rooted in personal feeling. The Page of Cups is connected to childhood and purity and carries the seed of an emerging love.","Air and Water combine here, inspiration mixed with feeling. The Page of Cups works to turn dreams into reality, marking the beginning of an exciting connection, whether with a person, a project, or an experience. Pure imagination and lightness rooted in genuine feeling define him. Tied to childhood and innocence, he carries the very first seed of an emerging love, still unfolding.",62,"Emotional immaturity, or idealizing a connection that isn't what it seems.","Air and Water combine here, inspiration mixed with feeling. This character works to turn dreams into reality, marking the beginning of an exciting connection, whether with a person, a project, or an experience. Pure imagination and lightness rooted in genuine feeling define them. Tied to childhood and innocence, they carry the very first seed of an emerging love, still unfolding."
minor_cups_knight,FIRE OF WATER,"The Knight of Cups moves between two opposing elements: the romanticism of the Water element and the passion of Fire. Although it is unstable, it can complete great missions through love. He is an inspiring person often tied to the world of arts: painting, photography, theater, music. The Knight of Cups lives in the world of art and love. He is capable of great gentleness and genuine warmth, even if he can be very unstable and mutable and his fire can quickly extinguish.","Water's romanticism meets Fire's passion in an unstable but powerful mix. This Knight can accomplish real things through love, often drawn to art, whether painting, photography, theater, or music. He offers genuine gentleness and warmth, but his fire can flare and fade quickly, making him inspiring yet unpredictable, someone who lives fully in both the emotional and the creative world.",60,"Charm without follow-through, or moodiness where steady warmth was expected.","Water's romanticism meets Fire's passion in an unstable but powerful mix. This character can accomplish real things through love, often drawn to art, whether painting, photography, theater, or music. They offer genuine gentleness and warmth, but their fire can flare and fade quickly, making them inspiring yet unpredictable, someone who lives fully in both the emotional and the creative world."
minor_cups_queen,WATER OF WATER,"The Queen of Cups is the manifestation of the soul of Water. She can love unconditionally, is very sensitive and receptive, and knows how to listen and heal through empathy. She is pure of heart and doesn't let herself be influenced by the judgments of those she encounters, because she can see their soul.","The Queen of Cups is pure Water, the emotional element in its fullest form. She loves without condition, listens with real sensitivity, and heals through empathy rather than advice. Pure of heart, she isn't swayed by others' judgments, because she sees straight through to the soul beneath them, meeting people exactly where they are.",54,"Compassion tipping into self-sacrifice, or overwhelm from absorbing too much feeling.","This character is pure Water, the emotional element in its fullest form. She loves without condition, listens with real sensitivity, and heals through empathy rather than advice. Pure of heart, she isn't swayed by others' judgments, because she sees straight through to the soul beneath them, meeting people exactly where they are."
minor_cups_king,EARTH OF WATER,"The King of Cups offers stability in feeling through the Earth element. He knows how to control his emotions, so that they can become fertile ground for others as well. Like the Queen of Cups, he can listen, and his listening transforms and heals. He is connected to the world of the arts and uses imagination as his main power. That's why he must remain aware and not lose himself in daydreaming or yearning on emotions. He must remain firmly centered and rooted in his power.","The King of Cups grounds feeling through Earth, giving him real stability with emotion. Like the Queen of Cups, his listening itself transforms and heals others. Deeply connected to the arts, imagination is his defining power, but he has to stay alert, careful not to lose himself in daydreaming. His strength lies in staying centered and rooted even while working through deep feeling.",63,"Calm on the surface hiding real volatility, or feelings used to manipulate.","This character grounds feeling through Earth, giving him real stability with emotion. Like another figure known for the same suit, his listening itself transforms and heals others. Deeply connected to the arts, imagination is his defining power, but he has to stay alert, careful not to lose himself in daydreaming. His strength lies in staying centered and rooted even while working through deep feeling."
minor_swords_ace,GEMINI · LIBRA · AQUARIUS,"The Ace of Swords, like all Aces, represents the primordial matter related to its element, in this case Air. It is the idea, illumination, when everything becomes clear suddenly and we have a clear view of the situation. It refers to the ability to see things as they are, to discern and eliminate the superfluous. The Ace of Swords cuts away the unnecessary to leave the essential. It can be a new vision of things, or it can refer to the ability to use our rational side without getting bogged down by the emotional. The Sword separates truth from deceit and often references the art of words and communication, just like Air signs.","Like every Ace, this card is Air in its rawest form: sudden illumination, when a situation becomes completely clear. It's the ability to see things exactly as they are, cutting away anything unnecessary to reach what's essential. This can mean a new way of seeing something, or using reason without being pulled under by emotion. The sword separates truth from deceit, echoing Air's gift for honest communication.",67,"Clarity clouded, or truth getting tangled in confusion and misunderstanding.","Like every card of its kind, this one is Air in its rawest form: sudden illumination, when a situation becomes completely clear. It's the ability to see things exactly as they are, cutting away anything unnecessary to reach what's essential. This can mean a new way of seeing something, or using reason without being pulled under by emotion. A central symbol in this scene separates truth from deceit, echoing this element's gift for honest communication."
minor_swords_02,"MOON IN LIBRA, FIRST DECAN","In the Two of Swords there is hidden information, secrets, which we must seek within ourselves. Secrecy is an expression of the sensitivity of Libra: pondering, thinking before acting, making a decision in order to restore balance and inner harmony. This is a card of searching, balancing, of the peace needed to make a choice. The Moon represents change, which stabilizes and is channeled through the harmonious energy of Libra.","Hidden information here needs to be found within rather than outside. This secrecy reflects Libra's careful sensitivity, pausing to think before acting in order to restore inner balance. It's a card about searching and weighing options, the quiet needed to make a real decision. The Moon adds a sense of change, one that stabilizes through Libra's naturally harmonious energy.",59,"A decision avoided indefinitely, rather than the pause actually leading anywhere.","Hidden information here needs to be found within rather than outside. This secrecy reflects a balanced sign's careful sensitivity, pausing to think before acting in order to restore inner balance. It's a card about searching and weighing options, the quiet needed to make a real decision. A reflective planetary energy adds a sense of change, one that stabilizes through that sign's naturally harmonious energy."
